,date,prices_name,price,hub,hub2,unit,currency,price_type,products,id_source,product_type
53,2023-01-02,VTP_TTF,0.3,VTP,TTF,MWh,EUR,BID,Q223,8,Quarter
54,2023-01-02,THE,80.1,THE,,MWh,EUR,BID,Q223,8,Quarter
55,2023-01-02,THE,81.325,THE,,MWh,EUR,ASK,Q223,8,Quarter
56,2023-01-02,SK VTP_CEGH,0.5,SK VTP,CEGH,MWh,EUR,BID,Q223,8,Quarter
57,2023-01-02,THE_TTF,1.1,THE,TTF,MWh,EUR,BID,Q223,8,Quarter
58,2023-01-02,THE_TTF,2.0,THE,TTF,MWh,EUR,ASK,Q223,8,Quarter
59,2023-01-02,TTF,79.0,TTF,,MWh,EUR,BID,Q223,8,Quarter
60,2023-01-02,TTF,79.325,TTF,,MWh,EUR,ASK,Q223,8,Quarter
61,2023-01-02,Czech Virtual Point,79.4,Czech Virtual Point,,MWh,EUR,BID,Q323,8,Quarter
62,2023-01-02,Czech Virtual Point,86.72500000000001,Czech Virtual Point,,MWh,EUR,ASK,Q323,8,Quarter
63,2023-01-02,Czech Virtual Point_THE,0.5,Czech Virtual Point,THE,MWh,EUR,BID,Q323,8,Quarter
64,2023-01-02,Czech Virtual Point_THE,1.5,Czech Virtual Point,THE,MWh,EUR,ASK,Q323,8,Quarter
65,2023-01-02,VTP_TTF,-0.325,VTP,TTF,MWh,EUR,BID,Q323,8,Quarter
66,2023-01-02,THE,78.9,THE,,MWh,EUR,BID,Q323,8,Quarter
67,2023-01-02,THE,85.22500000000001,THE,,MWh,EUR,ASK,Q323,8,Quarter
68,2023-01-02,THE_TTF,0.2,THE,TTF,MWh,EUR,BID,Q323,8,Quarter
69,2023-01-02,THE_TTF,5.9,THE,TTF,MWh,EUR,ASK,Q323,8,Quarter
70,2023-01-02,TTF,78.7,TTF,,MWh,EUR,BID,Q323,8,Quarter
71,2023-01-02,TTF,79.325,TTF,,MWh,EUR,ASK,Q323,8,Quarter
72,2023-01-02,Czech Virtual Point,87.5,Czech Virtual Point,,MWh,EUR,BID,Q423,8,Quarter
73,2023-01-02,Czech Virtual Point,89.95,Czech Virtual Point,,MWh,EUR,ASK,Q423,8,Quarter
74,2023-01-02,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,BID,Q423,8,Quarter
75,2023-01-02,Czech Virtual Point_THE,2.0,Czech Virtual Point,THE,MWh,EUR,ASK,Q423,8,Quarter
76,2023-01-02,VTP_TTF,-0.45,VTP,TTF,MWh,EUR,BID,Q423,8,Quarter
77,2023-01-02,THE,86.5,THE,,MWh,EUR,BID,Q423,8,Quarter
78,2023-01-02,THE,87.95,THE,,MWh,EUR,ASK,Q423,8,Quarter
79,2023-01-02,THE_TTF,3.0,THE,TTF,MWh,EUR,BID,Q423,8,Quarter
80,2023-01-02,THE_TTF,3.45,THE,TTF,MWh,EUR,ASK,Q423,8,Quarter
81,2023-01-02,TTF,83.5,TTF,,MWh,EUR,BID,Q423,8,Quarter
82,2023-01-02,TTF,84.5,TTF,,MWh,EUR,ASK,Q423,8,Quarter
83,2023-01-02,Czech Virtual Point,84.145,Czech Virtual Point,,MWh,EUR,BID,Q124,8,Quarter
84,2023-01-02,Czech Virtual Point,85.22500000000001,Czech Virtual Point,,MWh,EUR,ASK,Q124,8,Quarter
85,2023-01-02,Czech Virtual Point_THE,1.25,Czech Virtual Point,THE,MWh,EUR,BID,Q124,8,Quarter
86,2023-01-02,Czech Virtual Point_THE,2.2,Czech Virtual Point,THE,MWh,EUR,ASK,Q124,8,Quarter
87,2023-01-02,THE,82.895,THE,,MWh,EUR,BID,Q124,8,Quarter
88,2023-01-02,THE,83.025,THE,,MWh,EUR,ASK,Q124,8,Quarter
89,2023-01-02,THE_TTF,2.35,THE,TTF,MWh,EUR,BID,Q124,8,Quarter
90,2023-01-02,TTF,80.545,TTF,,MWh,EUR,BID,Q124,8,Quarter
91,2023-01-02,TTF,83.025,TTF,,MWh,EUR,ASK,Q124,8,Quarter
92,2023-01-02,Czech Virtual Point,79.753,Czech Virtual Point,,MWh,EUR,BID,SUM23,8,Season
93,2023-01-02,Czech Virtual Point,81.417,Czech Virtual Point,,MWh,EUR,ASK,SUM23,8,Season
94,2023-01-02,Czech Virtual Point_THE,0.5,Czech Virtual Point,THE,MWh,EUR,BID,SUM23,8,Season
95,2023-01-02,Czech Virtual Point_THE,1.5,Czech Virtual Point,THE,MWh,EUR,ASK,SUM23,8,Season
96,2023-01-02,VTP_TTF,-0.5,VTP,TTF,MWh,EUR,BID,SUM23,8,Season
97,2023-01-02,THE,79.253,THE,,MWh,EUR,BID,SUM23,8,Season
98,2023-01-02,THE,79.917,THE,,MWh,EUR,ASK,SUM23,8,Season
99,2023-01-02,SK VTP_CEGH,0.5,SK VTP,CEGH,MWh,EUR,BID,SUM23,8,Season
100,2023-01-02,SK VTP_CEGH,2.0,SK VTP,CEGH,MWh,EUR,ASK,SUM23,8,Season
101,2023-01-02,THE_TTF,1.2,THE,TTF,MWh,EUR,BID,SUM23,8,Season
102,2023-01-02,THE_TTF,1.4,THE,TTF,MWh,EUR,ASK,SUM23,8,Season
103,2023-01-02,TTF,78.053,TTF,,MWh,EUR,BID,SUM23,8,Season
104,2023-01-02,TTF,78.517,TTF,,MWh,EUR,ASK,SUM23,8,Season
105,2023-01-02,Czech Virtual Point,84.237,Czech Virtual Point,,MWh,EUR,BID,WIN23,8,Season
106,2023-01-02,Czech Virtual Point,85.441,Czech Virtual Point,,MWh,EUR,ASK,WIN23,8,Season
107,2023-01-02,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,BID,WIN23,8,Season
108,2023-01-02,Czech Virtual Point_THE,2.2,Czech Virtual Point,THE,MWh,EUR,ASK,WIN23,8,Season
109,2023-01-02,THE,83.237,THE,,MWh,EUR,BID,WIN23,8,Season
110,2023-01-02,THE,83.241,THE,,MWh,EUR,ASK,WIN23,8,Season
111,2023-01-02,THE_TTF,2.6,THE,TTF,MWh,EUR,BID,WIN23,8,Season
112,2023-01-02,TTF,80.637,TTF,,MWh,EUR,BID,WIN23,8,Season
113,2023-01-02,TTF,83.241,TTF,,MWh,EUR,ASK,WIN23,8,Season
114,2023-01-02,Czech Virtual Point,78.25,Czech Virtual Point,,MWh,EUR,BID,CAL24,8,Year
115,2023-01-02,Czech Virtual Point,81.7,Czech Virtual Point,,MWh,EUR,ASK,CAL24,8,Year
116,2023-01-02,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,BID,CAL24,8,Year
117,2023-01-02,Czech Virtual Point_THE,2.5,Czech Virtual Point,THE,MWh,EUR,ASK,CAL24,8,Year
118,2023-01-02,THE,77.25,THE,,MWh,EUR,BID,CAL24,8,Year
119,2023-01-02,THE,79.2,THE,,MWh,EUR,ASK,CAL24,8,Year
120,2023-01-02,THE_TTF,2.75,THE,TTF,MWh,EUR,BID,CAL24,8,Year
121,2023-01-02,THE_TTF,3.7,THE,TTF,MWh,EUR,ASK,CAL24,8,Year
122,2023-01-02,TTF,74.5,TTF,,MWh,EUR,BID,CAL24,8,Year
123,2023-01-02,TTF,75.5,TTF,,MWh,EUR,ASK,CAL24,8,Year
124,2023-01-03,Czech Virtual Point,72.14999999999999,Czech Virtual Point,,MWh,EUR,BID,DA,8,Daily
125,2023-01-03,Czech Virtual Point,72.9,Czech Virtual Point,,MWh,EUR,ASK,DA,8,Daily
126,2023-01-03,Czech Virtual Point_THE,0.5,Czech Virtual Point,THE,MWh,EUR,BID,DA,8,Daily
127,2023-01-03,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,ASK,DA,8,Daily
128,2023-01-03,VTP_TTF,0.75,VTP,TTF,MWh,EUR,BID,DA,8,Daily
129,2023-01-03,VTP_TTF,1.375,VTP,TTF,MWh,EUR,ASK,DA,8,Daily
130,2023-01-03,THE,71.64999999999999,THE,,MWh,EUR,BID,DA,8,Daily
131,2023-01-03,THE,71.9,THE,,MWh,EUR,ASK,DA,8,Daily
132,2023-01-03,SK VTP_CEGH,1.0,SK VTP,CEGH,MWh,EUR,BID,DA,8,Daily
133,2023-01-03,THE_TTF,0.35,THE,TTF,MWh,EUR,BID,DA,8,Daily
134,2023-01-03,THE_TTF,0.4,THE,TTF,MWh,EUR,ASK,DA,8,Daily
135,2023-01-03,TTF,71.3,TTF,,MWh,EUR,BID,DA,8,Daily
136,2023-01-03,TTF,71.5,TTF,,MWh,EUR,ASK,DA,8,Daily
137,2023-01-03,Czech Virtual Point,74.1,Czech Virtual Point,,MWh,EUR,BID,FEB23,8,Month
138,2023-01-03,Czech Virtual Point,75.025,Czech Virtual Point,,MWh,EUR,ASK,FEB23,8,Month
139,2023-01-03,Czech Virtual Point_THE,0.1,Czech Virtual Point,THE,MWh,EUR,BID,FEB23,8,Month
140,2023-01-03,Czech Virtual Point_THE,0.9,Czech Virtual Point,THE,MWh,EUR,ASK,FEB23,8,Month
141,2023-01-03,VTP_TTF,0.625,VTP,TTF,MWh,EUR,BID,FEB23,8,Month
142,2023-01-03,VTP_TTF,1.0,VTP,TTF,MWh,EUR,ASK,FEB23,8,Month
143,2023-01-03,THE,74.0,THE,,MWh,EUR,BID,FEB23,8,Month
144,2023-01-03,THE,74.125,THE,,MWh,EUR,ASK,FEB23,8,Month
145,2023-01-03,SK VTP_CEGH,0.3,SK VTP,CEGH,MWh,EUR,BID,FEB23,8,Month
146,2023-01-03,SK VTP_CEGH,2.0,SK VTP,CEGH,MWh,EUR,ASK,FEB23,8,Month
147,2023-01-03,THE_TTF,0.5,THE,TTF,MWh,EUR,BID,FEB23,8,Month
148,2023-01-03,THE_TTF,0.6,THE,TTF,MWh,EUR,ASK,FEB23,8,Month
149,2023-01-03,TTF,73.5,TTF,,MWh,EUR,BID,FEB23,8,Month
150,2023-01-03,TTF,73.525,TTF,,MWh,EUR,ASK,FEB23,8,Month
151,2023-01-03,Czech Virtual Point,76.02499999999999,Czech Virtual Point,,MWh,EUR,BID,MAR23,8,Month
152,2023-01-03,Czech Virtual Point,77.52499999999999,Czech Virtual Point,,MWh,EUR,ASK,MAR23,8,Month
153,2023-01-03,Czech Virtual Point_THE,0.1,Czech Virtual Point,THE,MWh,EUR,BID,MAR23,8,Month
154,2023-01-03,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,ASK,MAR23,8,Month
155,2023-01-03,VTP_TTF,0.5,VTP,TTF,MWh,EUR,BID,MAR23,8,Month
156,2023-01-03,VTP_TTF,1.7,VTP,TTF,MWh,EUR,ASK,MAR23,8,Month
157,2023-01-03,THE,75.925,THE,,MWh,EUR,BID,MAR23,8,Month
158,2023-01-03,THE,76.52499999999999,THE,,MWh,EUR,ASK,MAR23,8,Month
159,2023-01-03,SK VTP_CEGH,0.5,SK VTP,CEGH,MWh,EUR,BID,MAR23,8,Month
160,2023-01-03,SK VTP_CEGH,2.0,SK VTP,CEGH,MWh,EUR,ASK,MAR23,8,Month
161,2023-01-03,THE_TTF,0.625,THE,TTF,MWh,EUR,BID,MAR23,8,Month
162,2023-01-03,THE_TTF,0.725,THE,TTF,MWh,EUR,ASK,MAR23,8,Month
163,2023-01-03,TTF,75.3,TTF,,MWh,EUR,BID,MAR23,8,Month
164,2023-01-03,TTF,75.8,TTF,,MWh,EUR,ASK,MAR23,8,Month
165,2023-01-03,Czech Virtual Point,77.265,Czech Virtual Point,,MWh,EUR,BID,APRIL23,8,Month
166,2023-01-03,Czech Virtual Point,80.445,Czech Virtual Point,,MWh,EUR,ASK,APRIL23,8,Month
167,2023-01-03,Czech Virtual Point_THE,0.0,Czech Virtual Point,THE,MWh,EUR,BID,APRIL23,8,Month
168,2023-01-03,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,ASK,APRIL23,8,Month
169,2023-01-03,THE,77.265,THE,,MWh,EUR,BID,APRIL23,8,Month
170,2023-01-03,THE,79.445,THE,,MWh,EUR,ASK,APRIL23,8,Month
171,2023-01-03,THE_TTF,1.65,THE,TTF,MWh,EUR,BID,APRIL23,8,Month
172,2023-01-03,THE_TTF,1.8,THE,TTF,MWh,EUR,ASK,APRIL23,8,Month
173,2023-01-03,TTF,75.615,TTF,,MWh,EUR,BID,APRIL23,8,Month
174,2023-01-03,TTF,77.645,TTF,,MWh,EUR,ASK,APRIL23,8,Month
175,2023-01-03,Czech Virtual Point,78.825,Czech Virtual Point,,MWh,EUR,BID,Q223,8,Quarter
176,2023-01-03,Czech Virtual Point,80.75,Czech Virtual Point,,MWh,EUR,ASK,Q223,8,Quarter
177,2023-01-03,Czech Virtual Point_THE,0.5,Czech Virtual Point,THE,MWh,EUR,BID,Q223,8,Quarter
178,2023-01-03,Czech Virtual Point_THE,1.5,Czech Virtual Point,THE,MWh,EUR,ASK,Q223,8,Quarter
179,2023-01-03,VTP_TTF,1.45,VTP,TTF,MWh,EUR,BID,Q223,8,Quarter
180,2023-01-03,VTP_TTF,2.482,VTP,TTF,MWh,EUR,ASK,Q223,8,Quarter
181,2023-01-03,THE,78.325,THE,,MWh,EUR,BID,Q223,8,Quarter
